start...
Finetuning mode
Load outputs/2022-09-10-11-12-34/trained_model/tetris_epoch110_score26900.pt...
Epoch: 109 / 100000, Score: 1300,  block: 62,  Reward: -46.2176 Cleared lines: 16, col: 12/2/0/0 
Epoch: 110 / 100000, Score: 14500,  block: 301,  Reward: -166.4809 Cleared lines: 119, col: 67/23/2/0 
Epoch: 111 / 100000, Score: 400,  block: 42,  Reward: -38.8159 Cleared lines: 7, col: 3/2/0/0 
Epoch: 112 / 100000, Score: 14500,  block: 301,  Reward: -122.3514 Cleared lines: 118, col: 69/20/3/0 
Epoch: 113 / 100000, Score: 14300,  block: 301,  Reward: -112.1270 Cleared lines: 121, col: 77/19/2/0 
Epoch: 114 / 100000, Score: 14400,  block: 301,  Reward: -175.7833 Cleared lines: 112, col: 57/24/1/1 
Epoch: 115 / 100000, Score: 13300,  block: 301,  Reward: -153.5062 Cleared lines: 119, col: 86/15/1/0 
Epoch: 116 / 100000, Score: 14500,  block: 301,  Reward: -131.7920 Cleared lines: 120, col: 75/18/3/0 
Epoch: 117 / 100000, Score: 14900,  block: 301,  Reward: -92.2663 Cleared lines: 123, col: 76/19/3/0 
Epoch: 118 / 100000, Score: 15400,  block: 301,  Reward: -137.7716 Cleared lines: 119, col: 73/15/4/1 
Epoch: 119 / 100000, Score: 13400,  block: 301,  Reward: -136.3043 Cleared lines: 120, col: 87/15/1/0 
Epoch: 120 / 100000, Score: 600,  block: 49,  Reward: -44.8745 Cleared lines: 10, col: 8/1/0/0 
Epoch: 121 / 100000, Score: 2400,  block: 88,  Reward: -79.9843 Cleared lines: 25, col: 17/4/0/0 
Epoch: 122 / 100000, Score: 15200,  block: 301,  Reward: -133.2206 Cleared lines: 120, col: 66/21/4/0 
Epoch: 123 / 100000, Score: 13600,  block: 301,  Reward: -172.7250 Cleared lines: 120, col: 78/21/0/0 
Epoch: 124 / 100000, Score: 14300,  block: 301,  Reward: -126.7081 Cleared lines: 120, col: 74/20/2/0 
Epoch: 125 / 100000, Score: 13200,  block: 301,  Reward: -109.6195 Cleared lines: 115, col: 76/18/1/0 
Epoch: 126 / 100000, Score: 13500,  block: 301,  Reward: -147.4110 Cleared lines: 109, col: 62/19/3/0 
Epoch: 127 / 100000, Score: 14800,  block: 301,  Reward: -120.3433 Cleared lines: 121, col: 67/24/2/0 
Epoch: 128 / 100000, Score: 14900,  block: 301,  Reward: -109.2515 Cleared lines: 120, col: 76/17/2/1 
Epoch: 129 / 100000, Score: 15000,  block: 301,  Reward: -154.8319 Cleared lines: 118, col: 64/21/4/0 
Epoch: 130 / 100000, Score: 1200,  block: 59,  Reward: -55.2503 Cleared lines: 15, col: 11/2/0/0 
Epoch: 131 / 100000, Score: 14200,  block: 301,  Reward: -143.8289 Cleared lines: 122, col: 77/21/1/0 
Epoch: 132 / 100000, Score: 13900,  block: 301,  Reward: -117.7068 Cleared lines: 121, col: 80/19/1/0 
Epoch: 133 / 100000, Score: 14900,  block: 301,  Reward: -112.3750 Cleared lines: 121, col: 75/17/4/0 
Epoch: 134 / 100000, Score: 13900,  block: 301,  Reward: -183.3385 Cleared lines: 120, col: 72/24/0/0 
Epoch: 135 / 100000, Score: 14500,  block: 301,  Reward: -122.4061 Cleared lines: 121, col: 78/17/3/0 
Epoch: 136 / 100000, Score: 13900,  block: 301,  Reward: -152.6488 Cleared lines: 122, col: 88/14/2/0 
Epoch: 137 / 100000, Score: 600,  block: 47,  Reward: -51.2421 Cleared lines: 10, col: 8/1/0/0 
Epoch: 138 / 100000, Score: 14400,  block: 301,  Reward: -134.6911 Cleared lines: 119, col: 74/18/3/0 
Epoch: 139 / 100000, Score: 1800,  block: 62,  Reward: -55.9596 Cleared lines: 17, col: 10/2/1/0 
Epoch: 140 / 100000, Score: 14700,  block: 301,  Reward: -156.2335 Cleared lines: 122, col: 72/22/2/0 
Epoch: 141 / 100000, Score: 14100,  block: 301,  Reward: -133.1361 Cleared lines: 122, col: 74/24/0/0 
